Agreement Number,Disbursement Date,Loan Amount,Number of Ornaments,Gross Auction Weight of Ornaments(gm),Auction Date,Auction Place,Branch Address
PV97SGL8578597,25-Jul-23,58110,1,14.7,16-Oct-24,Adilabad - Dwaraka nagar,"Mahajan Complex, First floor, Busstand road. Dwaraka nagar, Adilabad- 504001"
PV97SGL8579611,25-Jul-23,68299,1,17.5,16-Oct-24,Adilabad - Dwaraka nagar,
PV97SGL8589497,26-Jul-23,40299,1,10.2,16-Oct-24,Adilabad - Dwaraka nagar,
PV97SGL8653401,01-Aug-23,10299,1,5.7,16-Oct-24,Adilabad - Dwaraka nagar,
PV97SGL8674973,03-Aug-23,32109,1,8.1,16-Oct-24,Adilabad - Dwaraka nagar,
PV97SGL8753590,10-Aug-23,10099,1,3.7,16-Oct-24,Adilabad - Dwaraka nagar,
PEK4SGL8796421,14-Aug-23,16101,1,4.7,16-Oct-24,Adilabad - Dwaraka nagar,
PEK4SGL8789730,14-Aug-23,17299,1,4.4,16-Oct-24,Adilabad - Dwaraka nagar,
PEK4SGL8830065,17-Aug-23,81099,1,20.2,16-Oct-24,Adilabad - Dwaraka nagar,
PYB2PFI6590314,30-Jan-23,19449,1,6.8,22-Oct-24,AGOOCHA,"GROUND FLOOR OPP PETROL PUMP, BHILWARA ROAD NEAR MAIN BUS STAND, AGOOCHA, RAJASTHAN- 311022"
PYB2PFI7171388,22-Mar-23,15449,1,9.6,22-Oct-24,AGOOCHA,
PYB2PFI7443143,15-Apr-23,35799,2,11.1,22-Oct-24,AGOOCHA,
PYB2PFI8379202,07-Jul-23,47367,2,16.3,22-Oct-24,AGOOCHA,
PYB2PFI8526093,20-Jul-23,68888,1,20.3,22-Oct-24,AGOOCHA,
PYB2PFI8808828,16-Aug-23,38376,2,31.7,22-Oct-24,AGOOCHA,
PKB9GOL8629266,29-Jul-23,488000,4,120.91,11-Oct-24,Ahmedabad - Gurukul,"Balaji Complex, shop No F6 & 7; 1st Floor, Opp Swaminarayan Gurukul Mandir, Drive IN Road, Gurukul, Ahmedabad - 380052"
PKB9GOL8731189,08-Aug-23,40299,1,15.5,11-Oct-24,Ahmedabad - Gurukul,
PKB9GOL8729335,08-Aug-23,81299,3,22.43,11-Oct-24,Ahmedabad - Gurukul,
PKB9GOL8750649,10-Aug-23,19799,1,5,11-Oct-24,Ahmedabad - Gurukul,
PLB2GOL8533963,20-Jul-23,57599,2,14.44,16-Oct-24,Ahmedabad - Kubernagar,"Ground Floor, Plot No 44, Opp Ganesh Party Plot, Maya cinema Road, Kubernagar, Ahmendabad 382340"
PLB1GOL8554961,22-Jul-23,10299,1,2.79,16-Oct-24,Ahmedabad - Nikol,"Ground Floor, Shop No F32-33,Pancham Shopping Mall, Near Jivan Wadi, Nikol Above SBI Bank Ahmedabad,382350"
PLB1GOL8711033,07-Aug-23,12099,1,3.13,16-Oct-24,Ahmedabad - Nikol,
PLB1GOL8820968,17-Aug-23,65099,1,30.14,16-Oct-24,Ahmedabad - Nikol,
POB2GOL8617207,28-Jul-23,83099,1,22.78,18-Oct-24,Ahmedabad - Vastral,"GROUND FLOOR SHOP NO 05, RADHEKISHAN COMPLEX OPP KARNAVATI MEGHA MALL, VASTRAL, AHMEDABAD-382418"
POB2GOL8825868,17-Aug-23,52099,2,17.35,18-Oct-24,Ahmedabad - Vastral,
PLB3GOL8750586,10-Aug-23,56432,1,14.37,15-Oct-24,Ahmedabad - Virat Nagar,"Ground Floor, Shop 1, Pioneer Plaza,Viranagar Road,Soni ni Chal,Odhav Ahmedabad,Gujarat 382415"
PGE7GOL8530863,20-Jul-23,34199,1,9.25,11-Oct-24,Ahmednagar - Delhigate,"CHHINDAM HEIGHTS GROUND FLOOR, CTSNO 7612/1, DELHIGATE, NEAR SHANI MANDIR,"
P441GOL8589059,26-Jul-23,166185,3,42.26,11-Oct-24,Ahmednagar - Delhigate,
PGE7GOL8694200,05-Aug-23,10999,1,3.02,11-Oct-24,Ahmednagar - Delhigate,
PGE7GOL8776548,12-Aug-23,18199,1,4.68,11-Oct-24,Ahmednagar - Delhigate,
P441GOL8825864,17-Aug-23,38136,1,9.88,11-Oct-24,Ahmednagar - Delhigate,
P65HGOL8539967,21-Jul-23,40559,1,12.9,21-Oct-24,Ajmer - Beawar Road,"2ND FLOOR NEAR MARTINDALE BRIDGE, ABOVE MUTHOOT FINANCE BEWAR ROAD, AJMER, RAJASTHAN - 305001"
P65HGOL8604783,27-Jul-23,28307,1,15.1,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8618545,28-Jul-23,96123,1,73.15,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8616730,28-Jul-23,21229,1,5.4,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8627318,29-Jul-23,121927,2,102.9,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8624836,29-Jul-23,107541,3,27.15,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8627455,29-Jul-23,162745,3,119.7,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8673092,03-Aug-23,116229,2,42,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8697257,05-Aug-23,11429,1,3,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8700122,05-Aug-23,15389,1,5.3,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8713514,07-Aug-23,39929,1,9.95,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8714103,07-Aug-23,129337,2,38.4,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8716343,07-Aug-23,29799,2,27.5,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8796436,14-Aug-23,42260,1,10.8,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8812568,16-Aug-23,19125,2,9.5,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8823121,17-Aug-23,24394,2,24.5,21-Oct-24,Ajmer - Beawar Road,
P65HGOL8822301,17-Aug-23,113836,1,29.5,21-Oct-24,Ajmer - Beawar Road,
PGU1GOL8617952,28-Jul-23,28229,3,16.7,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8615760,28-Jul-23,42517,1,12.2,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8640342,31-Jul-23,90498,2,25.68,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8748383,10-Aug-23,8229,1,16.6,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8767297,11-Aug-23,63359,3,16.8,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8777017,12-Aug-23,103714,2,47.506,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8792685,14-Aug-23,93702,1,30.5,15-Oct-24,Ajmer - India Motor Circle,
PGU1GOL8811700,16-Aug-23,115728,1,41.3,15-Oct-24,Ajmer - India Motor Circle,
P481GOL8819427,17-Aug-23,37675,1,9.5,15-Oct-24,Ajmer - India Motor Circle,
PCP6GOL8539073,21-Jul-23,27399,1,7,17-Oct-24,Akluj - Shankarrao Plaza,SADABAHU CHOCK AKLUJ 413101 V AKLUJ 413101
PCP6GOL8688291,04-Aug-23,12699,2,3.45,17-Oct-24,Akluj - Shankarrao Plaza,
PEP7GOL8530767,20-Jul-23,6199,1,2,18-Oct-24,Akola - Khadan Road,GROUND FLOOR ALSI PLOT KHADAN ROAD NEAR KERLA TYES INFRONT OF CENTAL JAIL SINDICAMP ROAD AKOLA 444001 MH
PEP7GOL8526879,20-Jul-23,15199,1,6.15,18-Oct-24,Akola - Khadan Road,
PEP7GOL8611739,28-Jul-23,18199,1,4.78,18-Oct-24,Akola - Khadan Road,
PEP7GOL8646500,31-Jul-23,21399,1,5.83,18-Oct-24,Akola - Khadan Road,
PEP7GOL8663314,02-Aug-23,19699,1,5,18-Oct-24,Akola - Khadan Road,
P489GOL8675264,03-Aug-23,106639,1,33.81,18-Oct-24,Akola - Khadan Road,
P489GOL8725020,08-Aug-23,50121,1,16.93,18-Oct-24,Akola - Khadan Road,
PEP7GOL8740114,09-Aug-23,100520,2,26.27,18-Oct-24,Akola - Khadan Road,
PEP7GOL8778206,12-Aug-23,36899,1,9.4,18-Oct-24,Akola - Khadan Road,
PEP7GOL8796611,14-Aug-23,37399,1,9.51,18-Oct-24,Akola - Khadan Road,
P489GOL8811115,16-Aug-23,20387,1,9.36,18-Oct-24,Akola - Khadan Road,
PEP7GOL8822985,17-Aug-23,153482,3,41.91,18-Oct-24,Akola - Khadan Road,
PEP7GOL8837207,18-Aug-23,15399,1,3.94,18-Oct-24,Akola - Khadan Road,
PYB5PFI7932236,26-May-23,33229,2,31,16-Oct-24,AKOLA RJ,"GROUND FLOOR NEAR MAHARAJA RESTAURANT, NAKODA NAGAR FATEHNAGAR ROAD, AKOLA, RAJASTHAN- 312205"
PYB5PFI7991241,01-Jun-23,217951,4,64.5,16-Oct-24,AKOLA RJ,
PYB5PFI8358226,05-Jul-23,65359,3,27.1,16-Oct-24,AKOLA RJ,
PGJ6GOL8538704,21-Jul-23,67399,1,18.5,16-Oct-24,Akot - Yogiraj Lakadganj,"YOGIRAJ LAKADGANJ, BESIDE AKOLA URBAN CO-OPERATIVE BANK, AKOT, AKOLA, MAHARASHTRA-444101 444101"
PGJ6GOL8593602,26-Jul-23,46899,1,11.885,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8625120,29-Jul-23,90408,1,22.6,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8700025,05-Aug-23,17399,1,4.7,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8749064,10-Aug-23,7899,1,2.35,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8775045,12-Aug-23,17899,1,4.51,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8775395,12-Aug-23,9699,1,2.7,16-Oct-24,Akot - Yogiraj Lakadganj,
P4R3GOL8828231,17-Aug-23,40056,1,15.3,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8839508,18-Aug-23,18449,1,4.8,16-Oct-24,Akot - Yogiraj Lakadganj,
PGJ6GOL8839007,18-Aug-23,33399,1,8.7,16-Oct-24,Akot - Yogiraj Lakadganj,
P578GOL8205709,20-Jun-23,197637,14,53.9,21-Oct-24,ALIBAG,"C/O SURESH ENTERPRISES 19/2B, ALIBAG REWAS ROAD RAIGAD DIST."
P578GOL8487696,17-Jul-23,11399,1,3.1,21-Oct-24,ALIBAG,
P578GOL8714281,07-Aug-23,121545,1,41,21-Oct-24,ALIBAG,
P578GOL8731039,08-Aug-23,259811,2,67.7,21-Oct-24,ALIBAG,
P38EGOL8213713,21-Jun-23,41299,2,17.56,18-Oct-24,ALMORA,GROUND FLOOR SHREE RADHE TULSI SADAN INFORNT OF SP OFFICE ALMORA 263601 UTTARAKHAND
P38EGOL8531019,20-Jul-23,23164,2,9.895,18-Oct-24,ALMORA,
P38EGOL8530765,20-Jul-23,5502,1,1.508,18-Oct-24,ALMORA,
P38EGOL8543359,21-Jul-23,54059,2,15.789,18-Oct-24,ALMORA,
P38EGOL8603080,27-Jul-23,10499,2,2.85,18-Oct-24,ALMORA,
